"smaz.lda"
"Scan 1"
"Potential / V";"Current / A"
1,40708;-8,34e-05
1,4253;-8,36e-05
1,45701;-8,28e-05
1,47848;-8,15e-05
1,50706;-8,32e-05
1,52857;-8,24e-05
1,55697;-8,24e-05
1,58521;-8,09e-05
1,60701;-8,28e-05
1,62177;-8,24e-05
1,65353;-8,2e-05
1,68197;-8,24e-05
1,70366;-8,32e-05
1,72855;-8,22e-05
1,75706;-8,32e-05
1,77873;-8,39e-05
1,80684;-8,11e-05
1,83528;-8,15e-05
1,85017;-8,24e-05
1,88175;-8,03e-05
1,91039;-8,26e-05
1,92879;-8,45e-05
1,95366;-8,32e-05
1,98871;-8,28e-05
2,00697;-8,24e-05
2,02532;-8,38e-05
2,05361;-8,28e-05
2,07846;-8,13e-05
2,10357;-8,24e-05
2,12513;-8,2e-05
2,15693;-8,2e-05
2,18197;-8,24e-05
2,20017;-8,24e-05
2,22519;-8,26e-05
2,25692;-8,19e-05
2,27855;-8,22e-05
2,30015;-8,22e-05
2,32852;-8,19e-05
2,35355;-8,22e-05
2,38181;-8,09e-05
2,40704;-8,3e-05
2,42535;-8,41e-05
2,45697;-8,24e-05
2,4821;-8,36e-05
2,49672;-8,19e-05
2,5283;-7,98e-05
2,54697;-8,43e-05
2,57184;-8,3e-05
2,61004;-7,92e-05
2,63559;-8,45e-05
2,6565;-7,79e-05
2,6886;-8,17e-05
2,70033;-8,39e-05
2,7251;-8,17e-05
2,75012;-8,19e-05
2,78182;-8,09e-05
2,8103;-8,17e-05
2,82857;-8,24e-05
2,8535;-8,17e-05
2,88175;-8,03e-05
2,90021;-8,28e-05
2,92853;-8,2e-05
2,95686;-8,13e-05
2,98193;-8,2e-05
3,0035;-8,17e-05
3,02499;-8,07e-05
3,05372;-8,38e-05
3,07848;-8,15e-05
3,10337;-8,05e-05
3,13213;-8,39e-05
3,15326;-7,94e-05
3,18177;-8,05e-05
3,20353;-8,2e-05
3,22861;-8,28e-05
3,25677;-8,05e-05
3,27844;-8,11e-05
3,30695;-8,22e-05
3,32524;-8,3e-05
3,35684;-8,11e-05
3,38192;-8,19e-05
3,3969;-8,36e-05
3,42504;-8,11e-05
3,45677;-8,05e-05
3,47879;-8,45e-05
3,50006;-8,13e-05
3,53155;-7,84e-05
3,55697;-8,24e-05
3,58548;-8,34e-05
3,60344;-8,11e-05
3,6251;-8,17e-05
3,65006;-8,13e-05
3,67852;-8,19e-05
3,70015;-8,22e-05
3,7285;-8,17e-05
3,7537;-8,36e-05
3,77524;-8,3e-05
3,8035;-8,17e-05
3,82861;-8,28e-05
3,85686;-8,13e-05
3,8751;-8,17e-05
3,90015;-8,22e-05
3,92832;-8e-05
3,95019;-8,26e-05
3,97841;-8,09e-05
4,00681;-8,09e-05
4,03195;-8,22e-05
4,05344;-8,11e-05
4,07864;-8,3e-05
4,09666;-8,13e-05
4,13181;-8,09e-05
4,15024;-8,3e-05
4,17526;-8,32e-05
4,19668;-8,15e-05
4,22846;-8,13e-05
4,25677;-8,05e-05
4,27528;-8,34e-05
4,2967;-8,17e-05
4,32475;-7,84e-05
4,35332;-8e-05
4,38192;-8,19e-05
4,40373;-8,39e-05
4,42181;-8,28e-05
4,45699;-8,26e-05
4,47523;-8,3e-05
4,50001;-8,09e-05
4,5249;-7,98e-05
4,55028;-8,34e-05
4,57164;-8,11e-05
4,60341;-8,09e-05
4,62848;-8,15e-05
4,64668;-8,15e-05
4,67835;-8,03e-05
4,6969;-8,36e-05
4,7217;-8,17e-05
4,75355;-8,22e-05
4,77526;-8,32e-05
4,79654;-8,02e-05
4,82499;-8,07e-05
4,84366;-8,51e-05
4,86135;-8,03e-05
4,89642;-7,9e-05
4,92857;-8,24e-05
4,94355;-8,41e-05
4,96824;-8,11e-05
5,00332;-8e-05
5,02861;-8,28e-05
5,04661;-8,09e-05
5,07848;-8,15e-05
5,09346;-8,32e-05
5,1183;-8,17e-05
5,15344;-8,11e-05
5,17852;-8,19e-05
5,20028;-8,34e-05
5,21821;-8,09e-05
5,24668;-8,15e-05
5,27501;-8,09e-05
5,29692;-8,38e-05
5,31824;-8,11e-05
5,35359;-8,26e-05
5,37184;-8,3e-05
5,39639;-7,88e-05
5,42857;-8,24e-05
5,44684;-8,3e-05
5,47144;-7,92e-05
5,50699;-8,26e-05
